height,siblings,exercise_hrs,online_hrs,sleep_hrs,haircut_spend,type_of_person,homeopathy_works,lied_about_age,marijuana,handedness,success_forces_outside_control,work_hard_to_succeed,children_vs_parents,woman_top_position,relaxed_stressful,anxiety_about_analytics,motivated_course_grade,facebook_friends,gender
190,2,8,20,7.5,25,3,0,1,1,1,Disagree,8,Better off,Not having children at all,2,1,5,1732,Male
196,2,0,10,6,20,1,0,1,1,0.7,Disagree,10,Better off,Not having children at all,3,1,4,1000,Male
185,2,15,10,7,60,3,0,1,1,0.9,Disagree,10,Better off,Not having children at all,3,2,5,564,Male
190,3,4,50,7,17,2,0,1,1,1,Agree,7,Better off,Not having children at all,3,2,4,500,Male
185,0,6,40,8,180,2,0,1,1,0.65,Disagree,9,Worse off,Not having children at all,2,4,5,900,Male
169,0,3.5,20,7,31.5,2,0,1,1,0.8400000000000001,Disagree,10,Better off,Having children later in her career,4,1,5,3005,Female
183,3,4,14,8,2.5,4,0,1,1,0.8660000000000001,Disagree,8,Better off,Not having children at all,2,3,4,700,Male
187,1,10,50,7,6,2,0,1,1,1,Disagree,8,Better off,Not having children at all,3,1,5,403,Male
184,2,5,10,8,10,2,0,1,1,1,Disagree,9,Worse off,Having children later in her career,3,2,5,200,Male
186,3,5,10,7,25,4,0,1,1,-1,Disagree,8,Worse off,Not having children at all,4,3,4,850,Male
190,2,5,25,8,35,2,0,1,1,0.6,Disagree,8,Better off,Not having children at all,3,3,5,500,Male
185,3,14,14,7,22,5,1,1,1,-0.36,Agree,10,Better off,Not having children at all,5,4,5,2000,Male
